id;segment;delivery_type;logistic_status;push_title;push_subtitle;email_subject;email_snippet;email_title;email_body;email_button
25;C2C;ПВЗ;Returned — 3 / Returned;Авито Доставка;Возврат одобрен — рассрочка автоматически отменилась;Возврат одобрен;Рассрочка отменилась;Возврат одобрен, заказ закрыт;Рассрочка автоматически отменилась. Вам вернутся все платежи, которые успели внести. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
26;C2C;ПВЗ;Return_denied;Авито Доставка;К*сожалению, вернуть заказ продавцу не*получится;Заказ закрыт;К сожалению, отменить рассрочку не*получится;Заказ закрыт;Мы изучили проблему: к*сожалению, отменить рассрочку не*выйдет.\n\nУточните у*продавца, сможет*ли он*отправить заказ обратно. Вы*можете договориться о*том, чтобы он*отправил вам посылку ещё раз,*— но*уже не*через Авито Доставку.;На страницу заказа
27;C2C;ПВЗ;Referee_is_here;Авито Доставка;Продавец отклонил заявку на*возврат заказа. Мы*проверим, что случилось;Продавец отклонил заявку на*возврат заказа;Мы*проверим, что случилось;Продавец не*принял возврат заказа;Мы проверим, что*случилось. Если с*товаром всё хорошо, вы сможете отправить его продавцу. В этом случае рассрочка отменится, и*вам вернутся все платежи, которые успеете внести.;На страницу заказа
28;C2C;ПВЗ;Seller_refuses_to_pay_denied;Авито Доставка;Продавец не*вернул деньги вовремя*😔 Посмотрите, как получить компенсацию;Продавец не*вернул деньги вовремя;Посмотрите, как получить компенсацию;К сожалению, продавец*не*вернул деньги вовремя*😔;Вы*можете получить компенсацию от*Авито. Откройте страницу заказа и*заполните заявление.;На страницу заказа
29;C2C;ПВЗ;Seller_refuses_to_pay_denied_2 / Denied;Авито Доставка;Возврат одобрен — рассрочка автоматически отменилась;Заказ закрыт;Рассрочка отменилась;Заказ закрыт;📦 Продавец не*успел выбрать пункт выдачи*— вернуть посылку через Авито Доставку не*получится, но*вы*можете договориться об*отправке другим способом.\n\nРассрочка автоматически отменилась. Вам вернутся все платежи, которые успели внести. Обычно деньги приходят в*течение 3–5 дней, но*в*редких случаях это может занять больше времени.;На страницу заказа
30;C2C;ПВЗ;Accepted_after_dispute;Авито Доставка;К сожалению, с*товаром что-то случилось после получения*— вернуть его продавцу не*выйдет;Заказ закрыт;К сожалению, вернуть его продавцу не*выйдет;Заказ закрыт;К сожалению, с*заказом что-то случилось после получения*— вернуть его продавцу не*выйдет.;На страницу заказа
31;C2C;Постаматы;Paid;Авито Доставка;Заказ в*рассрочку оформлен, ждём подтверждения от*службы доставки;Заказ в рассрочку оформлен;Ждём, когда служба доставки его подтвердит;Заказ в рассрочку оформлен;Ждём, когда служба доставки его подтвердит. Отслеживайте статус и*смотрите подробности о*заказе на*его странице.\n\nТуда*же вынесли все детали по*рассрочке, графику платежей и*погашению*— ознакомьтесь с*ними.;На страницу заказа
32;C2C;Постаматы;Confirmed;Авито Доставка;Заказ в рассрочку подтверждён. Примерный срок доставки*— до*1*июня;Заказ в рассрочку подтверждён;Примерный срок доставки*— до*1*июня;Заказ подтверждён;Он приедет в*пункт 5Post: Москва, улица Ленина, 1 (БЦ Алёнушка).\n\nПримерный срок доставки*— до*1*июня.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
33;C2C;Постаматы;Performed;Авито Доставка;Заказ в*рассрочку в*пути. Примерный срок доставки*— до*20*мая;Заказ в пути;Его доставят до*20*мая;Заказ в*пути;Примерный срок доставки*— до*20*мая. Вы можете отследить посылку на*fivepost.ru.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
34;C2C;Постаматы;Provided;Авито Доставка;Заказ в*рассрочку доставили*— заберите его в*постамате;Заказ доставили;Получите его по*паспорту;Заберите заказ до*1*июня включительно;Код получения придёт на*+7 XXX XX-XX-XX, почту и*в*Viber. Адрес пункта, правила проверки товаров и*другие подробности можно посмотреть на*странице заказа.\n\nЭто заказ в*рассрочку. Все детали по*ней, графику платежей и*погашению*— на*странице заказа.;На страницу заказа
